# Stellar log g
# Table VII of Straizys & Kuriliene, 1981, Ap&SS, 80, 353S
# Extended with data from Malkov et al, 2020, RAA, 20, 139
# Endpoints extended ~linearly to cover entire range.
# Sc = spectral class code

Sp, Sc,    V,   IV,  III,   II,   Ib,  Iab,   Ia, sd
O1,  1, 3.90, 3.85, 3.80, 4.05, 4.00, 3.90, 3.80, 4.5
O5,  5, 3.90, 3.86, 3.82, 3.76, 3.74, 3.69, 3.57,
O6,  6, 3.86, 3.80, 3.76, 3.69, 3.64, 3.60, 3.53,
O7,  7, 3.85, 3.80, 3.74, 3.64, 3.57, 3.52, 3.45,
O8,  8, 3.87, 3.81, 3.75, 3.62, 3.53, 3.49, 3.39,
O9,  9, 3.95, 3.82, 3.74, 3.58, 3.50, 3.44, 3.31,
B0, 10, 4.00, 3.88, 3.74, 3.39, 3.27, 3.19, 3.05, 4.5
B1, 11, 4.00, 3.86, 3.71, 3.31, 3.17, 3.01, 2.87,
B2, 12, 4.06, 3.88, 3.68, 3.19, 3.00, 2.84, 2.68,
B3, 13, 4.06, 3.89, 3.71, 3.12, 2.79, 2.68, 2.49,
B5, 15, 4.10, 3.98, 3.81, 2.90, 2.52, 2.40, 2.22,
B6, 16, 4.09, 3.96, 3.84, 2.77, 2.42, 2.29, 2.13,
B7, 17, 4.07, 3.95, 3.82, 2.77, 2.33, 2.21, 2.02,
B8, 18, 4.07, 3.92, 3.79, 2.79, 2.27, 2.11, 1.97,
B9, 19, 4.03, 3.94, 3.75, 2.81, 2.20, 2.04, 1.88,
A0, 20, 4.07, 3.91, 3.75, 2.85, 2.23, 2.01, 1.81, 4.5
A1, 21, 4.10, 3.96, 3.78, 2.88, 2.22, 1.96, 1.76,
A2, 22, 4.16, 3.98, 3.78, 2.87, 2.23, 1.92, 1.73,
A3, 23, 4.20, 4.03, 3.83, 2.85, 2.20, 1.86, 1.65,
A5, 25, 4.22, 4.06, 3.86, 2.81, 2.14, 1.74, 1.53,
A7, 27, 4.26, 4.10, 3.86, 2.75, 2.08, 1.65, 1.38, 
F0, 30, 4.28, 4.05, 3.83, 2.67, 2.00, 1.51, 1.25, 4.0
F2, 32, 4.26, 4.01, 3.81, 2.63, 1.92, 1.39, 1.15,
F5, 35, 4.28, 3.93, 3.74, 2.48, 1.81, 1.22, 1.00,
F8, 38, 4.35, 3.89, 3.53, 2.38, 1.71, 1.06, 0.83, 
G0, 40, 4.39, 3.84, 3.35, 2.29, 1.62, 0.95, 0.72, 3.5
G2, 42, 4.40, 3.77, 3.20, 2.20, 1.53, 0.86, 0.61,
G5, 45, 4.49, 3.71, 3.07, 2.04, 1.45, 0.71, 0.45,
G8, 48, 4.55, 3.64, 2.95, 1.84, 1.30, 0.60, 0.30, 
K0, 50, 4.57, 3.57, 2.89, 1.74, 1.20, 0.54, 0.25, 3.0
K1, 51, 4.55, 3.55, 2.78, 1.66, 1.16, 0.54, 0.25,
K2, 52, 4.55, 3.54, 2.63, 1.59, 1.10, 0.48, 0.23,
K3, 53, 4.56, 3.52, 2.36, 1.52, 1.00, 0.46, 0.19,
K4, 54, 4.57, 3.49, 2.16, 1.35, 0.90, 0.41, 0.15,
K5, 55, 4.57, 3.47, 1.93, 1.20, 0.77, 0.35, 0.10,
K7, 57, 4.62, 3.42, 1.80, 1.12, 0.69, 0.33, 0.04,
M0, 60, 4.61, 3.35, 1.63, 1.01, 0.61, 0.30, 0.00, 3.0
M1, 61, 4.67, 3.33, 1.41, 0.84, 0.51, 0.19,-0.07,
M2, 62, 4.69, 3.31, 1.31, 0.70, 0.39, 0.09,-0.13,
M3, 63, 4.71, 3.28, 1.12, 0.38, 0.10,-0.16,-0.34,
M9, 69, 5.32, 3.15,-0.10,-0.30,-0.50,-0.60,-0.70,
